Date,Council,Positive_Cases_per_LA
2021-01-29,East Ayrshire,28
2021-01-29,East Dunbartonshire,20
2021-01-29,East Lothian,13
2021-01-29,East Renfrewshire,21
2021-01-29,Falkirk,58
2021-01-29,Fife,37
2021-01-29,Glasgow City,154
2021-01-29,Highland,19
2021-01-29,Inverclyde,14
2021-01-29,Midlothian,12
2021-01-29,Moray,11
2021-01-29,Na h-Eileanan Siar,5
2021-01-29,North Ayrshire,27
2021-01-29,North Lanarkshire,89
2021-01-29,Orkney Islands,0
2021-01-29,Perth & Kinross,15
2021-01-29,Renfrewshire,43
2021-01-29,Scottish Borders,10
2021-01-29,Shetland Islands,0
2021-01-29,South Ayrshire,18
2021-01-29,South Lanarkshire,77
2021-01-29,Stirling,20
2021-01-29,West Dunbartonshire,22
2021-01-29,West Lothian,30
2021-01-30,Aberdeen City,19
2021-01-30,Aberdeenshire,21
2021-01-30,Angus,20
2021-01-30,Argyll & Bute,15
2021-01-30,City of Edinburgh,53
2021-01-30,Clackmannanshire,17
2021-01-30,Dumfries & Galloway,18
2021-01-30,Dundee City,25
2021-01-30,East Ayrshire,28
2021-01-30,East Dunbartonshire,20
2021-01-30,East Lothian,15
2021-01-30,East Renfrewshire,20
2021-01-30,Falkirk,55
2021-01-30,Fife,34
2021-01-30,Glasgow City,153
2021-01-30,Highland,21
2021-01-30,Inverclyde,12
2021-01-30,Midlothian,12
2021-01-30,Moray,12
2021-01-30,Na h-Eileanan Siar,5
2021-01-30,North Ayrshire,26
2021-01-30,North Lanarkshire,92
2021-01-30,Orkney Islands,0
2021-01-30,Perth & Kinross,15
2021-01-30,Renfrewshire,42
2021-01-30,Scottish Borders,9
2021-01-30,Shetland Islands,0
2021-01-30,South Ayrshire,18
2021-01-30,South Lanarkshire,70
2021-01-30,Stirling,22
2021-01-30,West Dunbartonshire,22
2021-01-30,West Lothian,30
2021-01-31,Aberdeen City,18
2021-01-31,Aberdeenshire,21
