Date,Council,Deaths_per_LA
2021-01-24,City of Edinburgh,2
2021-01-24,Clackmannanshire,1
2021-01-24,Dumfries & Galloway,1
2021-01-24,Dundee City,2
2021-01-24,East Ayrshire,2
2021-01-24,East Dunbartonshire,1
2021-01-24,East Lothian,1
2021-01-24,East Renfrewshire,1
2021-01-24,Falkirk,3
2021-01-24,Fife,2
2021-01-24,Glasgow City,6
2021-01-24,Highland,1
2021-01-24,Inverclyde,0
2021-01-24,Midlothian,1
2021-01-24,Moray,0
2021-01-24,Na h-Eileanan Siar,0
2021-01-24,North Ayrshire,2
2021-01-24,North Lanarkshire,4
2021-01-24,Orkney Islands,0
2021-01-24,Perth & Kinross,1
2021-01-24,Renfrewshire,2
2021-01-24,Scottish Borders,1
2021-01-24,Shetland Islands,0
2021-01-24,South Ayrshire,0
2021-01-24,South Lanarkshire,4
2021-01-24,Stirling,0
2021-01-24,West Dunbartonshire,0
2021-01-24,West Lothian,1
2021-01-25,Aberdeen City,1
2021-01-25,Aberdeenshire,1
2021-01-25,Angus,1
2021-01-25,Argyll & Bute,0
2021-01-25,City of Edinburgh,3
2021-01-25,Clackmannanshire,1
2021-01-25,Dumfries & Galloway,1
2021-01-25,Dundee City,2
2021-01-25,East Ayrshire,1
2021-01-25,East Dunbartonshire,0
2021-01-25,East Lothian,1
2021-01-25,East Renfrewshire,1
2021-01-25,Falkirk,3
2021-01-25,Fife,2
2021-01-25,Glasgow City,6
2021-01-25,Highland,1
2021-01-25,Inverclyde,0
2021-01-25,Midlothian,1
2021-01-25,Moray,0
2021-01-25,Na h-Eileanan Siar,0
2021-01-25,North Ayrshire,2
2021-01-25,North Lanarkshire,4
2021-01-25,Orkney Islands,0
2021-01-25,Perth & Kinross,1
2021-01-25,Renfrewshire,3
2021-01-25,Scottish Borders,1
2021-01-25,Shetland Islands,0
2021-01-25,South Ayrshire,0
2021-01-25,South Lanarkshire,5
2021-01-25,Stirling,0
2021-01-25,West Dunbartonshire,0
2021-01-25,West Lothian,0
2021-01-26,Aberdeen City,1
2021-01-26,Aberdeenshire,1
2021-01-26,Angus,1
2021-01-26,Argyll & Bute,1
2021-01-26,City of Edinburgh,3
2021-01-26,Clackmannanshire,0
2021-01-26,Dumfries & Galloway,1
2021-01-26,Dundee City,2
2021-01-26,East Ayrshire,2
2021-01-26,East Dunbartonshire,1
2021-01-26,East Lothian,0
2021-01-26,East Renfrewshire,1
2021-01-26,Falkirk,3
2021-01-26,Fife,2
2021-01-26,Glasgow City,6
2021-01-26,Highland,1
2021-01-26,Inverclyde,0
2021-01-26,Midlothian,1
2021-01-26,Moray,0
2021-01-26,Na h-Eileanan Siar,0
2021-01-26,North Ayrshire,2
2021-01-26,North Lanarkshire,4
2021-01-26,Orkney Islands,0
2021-01-26,Perth & Kinross,1
2021-01-26,Renfrewshire,4
2021-01-26,Scottish Borders,1
2021-01-26,Shetland Islands,0
2021-01-26,South Ayrshire,0
2021-01-26,South Lanarkshire,5
2021-01-26,Stirling,0
