Date,Council,Vaccinations_per_LA
2021-01-25,West Dunbartonshire,1842
2021-01-25,West Lothian,2982
2021-01-26,Aberdeen City,5508
2021-01-26,Aberdeenshire,6352
2021-01-26,Angus,2758
2021-01-26,Argyll and Bute,1470
2021-01-26,City of Edinburgh,9007
2021-01-26,Clackmannanshire,953
2021-01-26,Dumfries and Galloway,3376
2021-01-26,Dundee City,3446
2021-01-26,East Ayrshire,2286
2021-01-26,East Dunbartonshire,2479
2021-01-26,East Lothian,2068
2021-01-26,East Renfrewshire,2080
2021-01-26,Falkirk,2748
2021-01-26,Fife,7151
2021-01-26,Glasgow City,8303
2021-01-26,Highland,3061
2021-01-26,Inverclyde,1382
2021-01-26,Midlothian,2069
2021-01-26,Moray,1924
2021-01-26,Na h-Eileanan Siar,968
2021-01-26,North Ayrshire,2395
2021-01-26,North Lanarkshire,6596
2021-01-26,Orkney Islands,627
2021-01-26,Perth and Kinross,3188
2021-01-26,Renfrewshire,3173
2021-01-26,Scottish Borders,2879
2021-01-26,Shetland Islands,340
2021-01-26,South Ayrshire,2409
2021-01-26,South Lanarkshire,6746
2021-01-26,Stirling,1529
2021-01-26,West Dunbartonshire,1882
2021-01-26,West Lothian,3051
2021-01-27,Aberdeen City,5749
2021-01-27,Aberdeenshire,6457
2021-01-27,Angus,2867
2021-01-27,Argyll and Bute,1477
2021-01-27,City of Edinburgh,9203
2021-01-27,Clackmannanshire,974
2021-01-27,Dumfries and Galloway,3448
2021-01-27,Dundee City,3612
2021-01-27,East Ayrshire,2361
2021-01-27,East Dunbartonshire,2536
2021-01-27,East Lothian,2105
2021-01-27,East Renfrewshire,2137
2021-01-27,Falkirk,2847
2021-01-27,Fife,7417
2021-01-27,Glasgow City,8671
2021-01-27,Highland,3185
2021-01-27,Inverclyde,1400
2021-01-27,Midlothian,2109
2021-01-27,Moray,1965
2021-01-27,Na h-Eileanan Siar,995
2021-01-27,North Ayrshire,2528
2021-01-27,North Lanarkshire,6808
2021-01-27,Orkney Islands,640
2021-01-27,Perth and Kinross,3344
2021-01-27,Renfrewshire,3301
2021-01-27,Scottish Borders,2963
2021-01-27,Shetland Islands,366
2021-01-27,South Ayrshire,2478
2021-01-27,South Lanarkshire,6975
2021-01-27,Stirling,1591
2021-01-27,West Dunbartonshire,1916
2021-01-27,West Lothian,3124
2021-01-28,Aberdeen City,5976
2021-01-28,Aberdeenshire,6621
2021-01-28,Angus,2972
2021-01-28,Argyll and Bute,1511
2021-01-28,City of Edinburgh,9466
2021-01-28,Clackmannanshire,1008
2021-01-28,Dumfries and Galloway,3528
2021-01-28,Dundee City,3778
2021-01-28,East Ayrshire,2408
2021-01-28,East Dunbartonshire,2610
2021-01-28,East Lothian,2155
2021-01-28,East Renfrewshire,2204
2021-01-28,Falkirk,2977
2021-01-28,Fife,7712
2021-01-28,Glasgow City,9116
2021-01-28,Highland,3323
2021-01-28,Inverclyde,1470
2021-01-28,Midlothian,2167
2021-01-28,Moray,2028
2021-01-28,Na h-Eileanan Siar,1020
2021-01-28,North Ayrshire,2612
2021-01-28,North Lanarkshire,7025
2021-01-28,Orkney Islands,655
2021-01-28,Perth and Kinross,3516
2021-01-28,Renfrewshire,3431
2021-01-28,Scottish Borders,3054
2021-01-28,Shetland Islands,399
2021-01-28,South Ayrshire,2546
2021-01-28,South Lanarkshire,7215
2021-01-28,Stirling,1671
2021-01-28,West Dunbartonshire,1966
2021-01-28,West Lothian,3204
2021-01-29,Aberdeen City,6212
2021-01-29,Aberdeenshire,6828
2021-01-29,Angus,3079
2021-01-29,Argyll and Bute,1597
2021-01-29,City of Edinburgh,9825
2021-01-29,Clackmannanshire,1059
2021-01-29,Dumfries and Galloway,3648
2021-01-29,Dundee City,3975
2021-01-29,East Ayrshire,2476
2021-01-29,East Dunbartonshire,2705
2021-01-29,East Lothian,2246
2021-01-29,East Renfrewshire,2287
2021-01-29,Falkirk,3191
2021-01-29,Fife,8046
2021-01-29,Glasgow City,9663
2021-01-29,Highland,3498
2021-01-29,Inverclyde,1593
2021-01-29,Midlothian,2274
2021-01-29,Moray,2115
2021-01-29,Na h-Eileanan Siar,1051
2021-01-29,North Ayrshire,2678
2021-01-29,North Lanarkshire,7262
2021-01-29,Orkney Islands,678
2021-01-29,Perth and Kinross,3703
2021-01-29,Renfrewshire,3575
2021-01-29,Scottish Borders,3180
2021-01-29,Shetland Islands,434
2021-01-29,South Ayrshire,2621
2021-01-29,South Lanarkshire,7492
2021-01-29,Stirling,1778
2021-01-29,West Dunbartonshire,2078
2021-01-29,West Lothian,3289
2021-01-30,Aberdeen City,6516
2021-01-30,Aberdeenshire,7100
2021-01-30,Angus,3212
