_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
126,20200307,S08000022,NHS Highland,0,0,0,0,0,0,0,6,50,15.5424308361828,6,0,0,0,6,0,,:,,:,0,0
127,20200307,S08000024,NHS Lothian,2,5,0.550915621763371,0.550915621763371,0,0,0,33,268,29.5290773265167,48,4,8.33333333333333,3.3457249070632002,48,0,,:,,:,4,0
128,20200307,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,3,13.4710372698698,0,0,0,0,0,0,,:,,:,0,0
129,20200307,S08000026,NHS Shetland,0,2,8.7260034904014,8.7260034904014,0,0,0,2,4,17.4520069808028,2,0,0,28.571428571428598,2,0,,:,,:,0,0
130,20200307,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,3,11.2275449101796,0,0,0,0,0,0,,:,,:,0,0
131,20200307,S08000029,NHS Fife,0,2,0.535403560433677,0.535403560433677,0,0,0,4,64,17.1329139338777,16,1,6.25,5.71428571428571,16,0,,:,,:,1,0
132,20200307,S08000030,NHS Tayside,0,1,0.239538170407454,0,0,0,0,2,75,17.9653627805591,9,0,0,4.968944099378881,9,0,,:,,:,0,0
133,20200307,S08000031,NHS Greater Glasgow & Clyde,0,3,0.253566840219082,0.253566840219082,0,0,0,28,426,36.0064913111096,45,3,6.66666666666667,1.5717092337917502,45,0,,:,,:,3,0
134,20200307,S08000032,NHS Lanarkshire,1,3,0.453240670796193,0.453240670796193,0,0,0,21,169,25.5325577881855,27,3,11.1111111111111,2.56410256410256,27,0,,:,,:,3,0
135,20200307,S92000003,Scotland,6,27,0.494206798089067,0.475902842604287,0,0,0,133,1436,26.2844800761445,218,17,7.79816513761468,3.45635618043351,218,0,10,"",,:,17,0
136,20200308,S08000015,NHS Ayrshire & Arran,0,2,0.541477149664284,0.541477149664284,0,0,0,8,94,25.4494260342214,10,0,0,3.03030303030303,10,0,,:,,:,0,0
